acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
0.15,0.29,-45.0,-0.1,-0.1,-0.1,21.15,9.07,-42.95,2
0.15,0.29,-45.0,-0.1,-0.1,-0.1,21.16,9.07,-42.95,2
0.29,0.29,-45.0,-0.1,-0.1,-0.1,21.15,9.09,-42.95,2
0.29,0.29,-45.0,-0.1,-0.1,-0.1,21.15,9.09,-42.95,2
-0.44,-0.0,-45.0,-0.0,-0.0,45.0,8.15,9.1,-44.7,2
0.44,-0.15,-45.0,-0.1,-0.1,-0.1,8.27,9.2,-44.69,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,8.27,9.21,-44.69,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,8.27,9.22,-44.69,2
0.74,-0.15,-45.0,0.0,-0.0,-45.0,8.14,8.94,-44.7,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,8.05,8.73,-44.71,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,8.04,8.73,-44.71,2
0.88,-0.15,-45.0,-0.1,-0.1,-0.1,8.04,8.73,-44.71,2
0.44,-0.15,-45.0,-0.1,-0.1,-0.1,7.62,7.79,-44.74,2
0.44,-0.15,-45.0,-0.1,-0.1,-0.1,7.64,7.78,-44.74,2
0.29,-0.15,-45.0,-0.1,-0.1,-0.1,7.65,7.78,-44.74,2
0.29,-0.15,-45.0,-0.1,-0.1,-0.1,7.66,7.78,-44.74,2
0.44,-0.15,-45.0,-0.1,-0.1,-0.1,7.66,7.78,-44.74,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,8.05,8.43,-44.71,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,8.05,8.44,-44.71,2
6.69,0.33,-44.8,-0.1,-0.1,-0.1,9.21,7.71,-44.62,2
0.29,-0.29,-45.0,-0.1,-0.1,-0.1,5.94,9.25,-44.84,2
-1.88,-15.55,-44.98,78.51,-10.26,-5.17,6.39,7.34,-44.82,2
-18.51,4.11,-43.47,-23.34,-37.75,40.87,0.84,18.7,-45.0,2
-11.24,-16.61,-44.39,-17.4,-24.76,-43.36,6.43,10.0,-44.81,2
-0.3,0.44,-45.0,-57.69,-9.73,27.23,6.16,10.26,-44.83,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.74,10.3,-44.26,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.75,10.3,-44.26,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.72,10.33,-44.26,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.74,10.32,-44.26,2
0.59,0.0,-45.0,-0.0,0.0,45.0,13.13,10.21,-44.22,2
0.74,-1.79,-45.0,35.26,35.26,-35.26,12.8,10.17,-44.26,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,13.0,10.38,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.98,10.4,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.38,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,12.99,10.39,-44.23,2
0.74,-0.0,-45.0,-0.1,-0.1,-0.1,12.99,10.38,-44.23,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,12.98,10.4,-44.23,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,13.0,10.38,-44.23,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,13.0,10.39,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.0,10.37,-44.23,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,13.0,10.37,-44.23,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.37,-44.23,2
0.59,-0.15,-45.0,-0.1,-0.1,-0.1,12.99,10.37,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.36,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.36,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.02,10.37,-44.23,2
0.59,-0.0,-45.0,-0.1,-0.1,-0.1,13.01,10.38,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.38,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.37,-44.23,2
0.74,-0.15,-45.0,-0.1,-0.1,-0.1,13.01,10.38,-44.23,2
